TIMESTAMP,X,Y,ORIENTATION,WAP_001,WAP_002,WAP_003,WAP_005,WAP_006,WAP_009,WAP_010,WAP_011,WAP_012,WAP_013,WAP_014,WAP_016,WAP_018,WAP_019,WAP_020,WAP_021,WAP_022,WAP_023,WAP_024,WAP_025,WAP_026,WAP_027,WAP_029,WAP_030,WAP_031,WAP_032,WAP_033,WAP_034,WAP_035,WAP_036,WAP_037,WAP_038,WAP_039,WAP_040,WAP_041,WAP_042,WAP_043,WAP_044,WAP_045,WAP_046,WAP_047,WAP_048,WAP_049,WAP_050,WAP_051,WAP_052,WAP_053,WAP_054,WAP_055,WAP_056,WAP_057,WAP_058,WAP_059,WAP_060,WAP_061,WAP_062,WAP_063,WAP_064,WAP_065,WAP_066,WAP_067,WAP_068,WAP_069,WAP_070,WAP_071,WAP_072,WAP_073,WAP_074,WAP_075,WAP_076,WAP_077,WAP_078,WAP_079,WAP_080,WAP_081,WAP_082,WAP_083,WAP_084,WAP_085,WAP_086,WAP_087,WAP_088,WAP_089,WAP_090,WAP_091,WAP_092,WAP_093,WAP_094,WAP_095,WAP_096,WAP_097,WAP_098,WAP_099,WAP_100,WAP_101,WAP_102,WAP_103,WAP_104,WAP_105,WAP_106,WAP_107,WAP_108,WAP_109,WAP_114,WAP_115,WAP_116,20:a6:cd:f7:7e:20,WAP_120,WAP_121,WAP_122,WAP_123,WAP_124,WAP_125,WAP_126,WAP_128,WAP_129,WAP_130,WAP_131,WAP_132,WAP_133,WAP_138,WAP_144,WAP_145,WAP_146,WAP_147,WAP_148,WAP_149,WAP_150,WAP_151,WAP_152,WAP_153,bc:9f:e4:c8:3c:e0,bc:9f:e4:c8:3c:e1,WAP_155,WAP_158,WAP_160,WAP_162,WAP_163,WAP_164,WAP_165,WAP_166,WAP_167,WAP_168,WAP_169,WAP_170,WAP_174,WAP_175,WAP_176,WAP_177,WAP_178,WAP_179,WAP_186,WAP_187,WAP_188,WAP_189,WAP_190,WAP_191,WAP_192,WAP_193,WAP_194,WAP_195,WAP_196,WAP_197,WAP_199,WAP_201,WAP_202,WAP_203,WAP_206,WAP_207,WAP_208,WAP_209,WAP_210,WAP_211,WAP_214,WAP_215,WAP_216,WAP_217,WAP_218,WAP_219
1615126677876,6.8,33.7,90,100,-74,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-83,-81,-80,-80,-81,100,100,100,100,100,100,100,100,100,100,100,100,-48,-46,-48,-51,-53,-53,100,100,100,-89,-88,-89,100,100,100,100,100,100,100,100,100,100,100,100,-51,-52,-51,-64,-64,-64,100,100,-71,-79,-79,-79,100,100,100,100,100,100,-77,100,-81,-84,-84,-84,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86
1615126681814,6.8,33.7,90,100,-75,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,-79,-81,-81,-82,100,100,100,100,100,100,100,100,100,100,100,100,-47,-47,-47,-55,-53,-55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-52,-51,-50,-64,-64,-63,-72,-71,-71,-79,-79,-79,100,100,100,100,100,100,-79,-79,-78,-86,-85,-85,100,-66,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126688334,6.8,33.7,180,100,-75,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-76,-76,-82,-83,-83,100,100,100,100,100,100,100,100,100,100,100,100,-44,-43,-43,-48,-48,-48,100,100,-84,-87,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,-50,-51,-52,-64,-65,-64,-73,-74,-74,-80,-80,-80,100,100,100,100,100,100,-80,100,100,-86,-87,-87,100,-65,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126692058,6.8,33.7,180,100,-74,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-77,-75,-78,-78,-77,100,100,100,100,100,100,100,100,100,100,100,100,-45,-44,-46,-48,-49,-49,100,100,100,-90,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-56,-56,-56,-63,-63,-62,-74,-73,-73,-80,-79,-79,100,100,100,100,100,100,-84,-80,-82,-87,-87,-88,100,-65,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126695883,6.8,33.7,180,100,-76,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-77,-76,-77,-77,-77,100,100,100,100,100,100,100,100,100,100,100,100,-42,-42,-44,-49,-49,-49,100,100,100,-88,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,-53,-54,-54,-64,-64,-64,-70,-73,-70,-79,-79,-79,100,100,100,100,100,100,-81,-81,-82,-88,-87,-88,100,-65,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126699677,6.8,33.7,180,100,-79,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,100,-79,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,-42,-41,-44,-49,-49,-48,100,100,100,-90,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-52,-52,-52,-61,-61,-61,100,100,100,-81,-82,-82,100,100,100,100,100,100,100,100,-81,-87,-86,-86,100,-65,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126703757,6.8,33.7,180,100,-77,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,-79,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,-43,-43,-43,-48,-50,-49,100,100,100,-90,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-52,-51,-62,-62,-62,100,100,100,-81,-80,-81,100,100,100,100,100,100,-82,-81,-81,-85,-85,-85,100,-66,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126707507,6.8,33.7,270,100,-78,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-79,-78,-79,-79,-80,100,100,100,100,100,100,100,100,100,100,100,100,-43,-42,-47,-49,-48,-48,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-50,-51,-63,-63,-64,-72,-74,-74,-79,-80,-78,100,100,100,100,100,100,-82,-82,-82,-85,-85,-86,100,-67,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126707520,6.8,33.7,270,100,-78,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-79,-78,-79,-79,-80,100,100,100,100,100,100,100,100,100,100,100,100,-43,-42,-47,-49,-48,-48,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-50,-51,-63,-63,-64,-72,-74,-74,-79,-80,-78,100,100,100,100,100,100,-82,-82,-82,-85,-85,-86,100,-67,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126711399,6.8,33.7,270,100,-76,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-80,100,-79,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,-43,-43,-43,-49,-48,-48,100,100,100,-89,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,-58,-58,-58,-65,-65,-66,100,-70,-71,-79,-80,-79,100,100,100,100,100,100,-79,-79,100,-84,-84,-84,100,100,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126715307,6.8,33.7,270,100,-75,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-74,-81,-80,-81,100,100,100,100,100,100,100,100,100,100,100,100,-42,-43,-42,-47,-47,-48,-82,100,-84,-88,-89,-88,100,100,100,100,100,100,100,100,100,100,100,100,-59,-58,-57,-64,-64,-64,-70,100,-70,-79,-78,-80,100,100,100,100,100,100,-80,-78,-80,-87,-86,-87,100,-78,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126719127,6.8,33.7,270,100,-76,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-80,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,-43,-43,-43,-50,-51,-52,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-58,-58,-58,-64,-64,-64,-70,-70,-69,-81,-81,-82,100,100,100,100,100,100,-79,-79,-81,-87,-85,-85,100,-69,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126723122,6.8,33.7,270,100,-76,-84,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-77,-76,-81,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,-47,-42,-42,-50,-51,-51,100,100,100,-89,-90,-89,100,100,100,100,100,100,100,100,100,100,100,100,-57,-56,-58,-66,-66,-66,100,100,100,-82,-81,-81,100,100,100,100,100,100,-78,100,-79,-86,-87,-87,100,-67,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126726778,6.8,33.7,270,100,-75,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,-84,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,-83,-75,-81,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,-42,-43,-43,-50,-51,-51,100,100,100,-89,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,-54,-57,-57,-66,-65,-66,-71,100,100,-81,-81,-82,100,100,100,100,100,100,-81,-79,-79,-88,-87,-87,100,-67,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126730563,6.8,33.7,270,100,-74,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,-76,-76,-78,-78,-78,100,100,100,100,100,100,100,100,100,100,100,100,-43,-42,-42,-46,-50,-50,-82,100,-84,100,-91,-90,100,100,100,100,100,100,100,100,100,100,100,100,-58,-58,-59,-66,-67,-66,-70,100,-70,-80,-82,-80,100,100,100,100,100,100,-80,-84,-79,-81,-82,-81,100,-67,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126756461,1.7,33.7,0,100,-86,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-80,-78,-81,-81,-82,100,100,100,100,100,100,100,100,100,100,100,100,-60,-60,-60,-64,-65,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-37,-36,100,-45,-45,-45,-74,-78,-77,-83,-84,-85,100,100,100,100,100,100,100,100,100,-88,-89,-88,100,-73,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126760429,1.7,33.7,0,100,-87,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,-79,-83,-82,-81,-82,100,100,100,100,100,100,100,100,100,100,100,100,-59,-60,-59,-63,-65,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-36,-70,-35,-42,-41,-41,-75,100,-78,-87,-87,-87,100,100,100,100,100,100,100,100,100,-88,-87,-87,100,-71,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615126764281,1.7,33.7,0,100,-86,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,-81,-82,100,100,100,100,100,100,100,100,100,100,100,100,-60,-59,-60,-64,-63,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-41,-41,-41,100,100,100,-86,-86,-86,100,100,100,100,100,100,-84,100,100,-88,-88,-87,100,-74,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
