X,Y,ORIENTATION,TIMESTAMP,BEACON_01,BEACON_02,BEACON_03,BEACON_04,BEACON_05,BEACON_06,BEACON_07,BEACON_08,BEACON_09,BEACON_10,BEACON_11
8.3,6.9,0,1615120170831,100.0,100.0,100.0,-72.85714285714286,-87.75,-82.75,-86.66666666666667,100.0,100.0,100.0,100.0
8.3,6.9,90,1615120192031,100.0,100.0,100.0,-67.5,-80.0,-86.33333333333333,-88.0,100.0,100.0,100.0,100.0
8.3,6.9,180,1615120218826,100.0,100.0,100.0,-73.28571428571429,-81.5,-84.33333333333333,-90.66666666666667,100.0,100.0,100.0,100.0
8.3,6.9,270,1615120239250,100.0,100.0,100.0,-74.66666666666667,-84.5,-82.66666666666667,-91.5,100.0,100.0,100.0,100.0
8.3,30.4,0,1615117390890,-72.6,-90.0,-86.0,100.0,100.0,100.0,100.0,-88.5,-88.0,100.0,-75.0
8.3,30.4,90,1615117424347,-76.33333333333333,-83.0,-91.0,100.0,100.0,100.0,100.0,-89.0,-86.0,100.0,-83.66666666666667
8.3,30.4,180,1615117443005,-81.8,-80.6,100.0,100.0,100.0,100.0,100.0,-89.0,-91.0,100.0,-77.42857142857143
8.3,30.4,270,1615117466333,-80.8,-88.0,100.0,100.0,100.0,100.0,100.0,-90.5,100.0,100.0,-72.66666666666667
10.0,6.9,0,1615120275843,100.0,100.0,100.0,-72.5,100.0,-78.5,-86.33333333333333,100.0,100.0,100.0,100.0
10.0,6.9,90,1615120302158,100.0,100.0,100.0,-68.0,-84.0,-88.0,100.0,100.0,100.0,100.0,100.0
10.0,6.9,180,1615120324000,100.0,100.0,100.0,100.0,-84.5,100.0,-93.0,100.0,100.0,100.0,100.0
10.0,6.9,270,1615120350968,100.0,100.0,100.0,-71.2,-84.0,-79.4,-88.5,100.0,100.0,100.0,100.0
10.0,30.4,0,1615117502165,-74.4,-83.25,-87.0,100.0,100.0,100.0,100.0,-83.0,-88.0,100.0,-82.0
10.0,30.4,90,1615117530969,-75.33333333333333,-84.75,-82.83333333333333,100.0,100.0,100.0,100.0,-95.0,-88.0,100.0,-87.66666666666667
10.0,30.4,180,1615117571597,-75.28571428571429,-83.5,-86.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,-80.0
10.0,30.4,270,1615117594837,-76.66666666666667,-84.6,-89.0,100.0,100.0,100.0,100.0,-89.0,-87.5,100.0,-79.0
10.0,33.9,0,1615112445350,-85.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-83.83333333333333
10.0,33.9,90,1615112468522,-81.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0
10.0,33.9,180,1615112498713,-81.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-76.0
10.0,33.9,270,1615112521417,-85.33333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,-84.25
11.7,6.9,0,1615120382544,100.0,100.0,100.0,-68.0,-82.33333333333333,-80.33333333333333,-82.0,100.0,100.0,100.0,100.0
11.7,6.9,90,1615120427814,100.0,100.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0
11.7,6.9,180,1615120447212,100.0,100.0,100.0,-68.6,-86.5,-84.5,-87.33333333333333,100.0,100.0,100.0,100.0
11.7,6.9,270,1615120467689,100.0,100.0,100.0,-71.0,-86.0,-84.66666666666667,-91.0,100.0,100.0,100.0,100.0
